,s,p,o,source,support,abstracts
18,internet,produces,knowledge retrieval,heuristic,1,"['with the growing amount of people using the internet , and creating digital content and information , knowledge retrieval becomes a critical task . ongoing efforts provide frameworks and standards for annotating digital and non-digital content semantically to describe resources more precisely and processable in comparison to simple descriptive structured and unstructured metadata . although the mpeg group provides with mpeg-7 , a useful and well defined theoretical framework for the creation of semantic annotation , retrieval of the annotations is not discussed . in this paper we present a retrieval process for mpeg-7 based semantic annotations founded on well proved information retrieval techniques , namely query expansion and regular expressions . additionally nwcbir , a prototype implementation for semantic search and retrieval will be presented . index termsmpeg-7 , nwcbir , semantic search and retrieval .']"
19,annotating digital and non - digital content,proposes,descriptive structured and unstructured metadata,heuristic,1,"['with the growing amount of people using the internet , and creating digital content and information , knowledge retrieval becomes a critical task . ongoing efforts provide frameworks and standards for annotating digital and non-digital content semantically to describe resources more precisely and processable in comparison to simple descriptive structured and unstructured metadata . although the mpeg group provides with mpeg-7 , a useful and well defined theoretical framework for the creation of semantic annotation , retrieval of the annotations is not discussed . in this paper we present a retrieval process for mpeg-7 based semantic annotations founded on well proved information retrieval techniques , namely query expansion and regular expressions . additionally nwcbir , a prototype implementation for semantic search and retrieval will be presented . index termsmpeg-7 , nwcbir , semantic search and retrieval .']"
20,mpeg-7,defines,semantic relationships,heuristic,1,"['with the growing amount of people using the internet , and creating digital content and information , knowledge retrieval becomes a critical task . ongoing efforts provide frameworks and standards for annotating digital and non-digital content semantically to describe resources more precisely and processable in comparison to simple descriptive structured and unstructured metadata . although the mpeg group provides with mpeg-7 , a useful and well defined theoretical framework for the creation of semantic annotation , retrieval of the annotations is not discussed . in this paper we present a retrieval process for mpeg-7 based semantic annotations founded on well proved information retrieval techniques , namely query expansion and regular expressions . additionally nwcbir , a prototype implementation for semantic search and retrieval will be presented . index termsmpeg-7 , nwcbir , semantic search and retrieval .']"
21,mpeg group,provides,mpeg-7,heuristic,1,"['with the growing amount of people using the internet , and creating digital content and information , knowledge retrieval becomes a critical task . ongoing efforts provide frameworks and standards for annotating digital and non-digital content semantically to describe resources more precisely and processable in comparison to simple descriptive structured and unstructured metadata . although the mpeg group provides with mpeg-7 , a useful and well defined theoretical framework for the creation of semantic annotation , retrieval of the annotations is not discussed . in this paper we present a retrieval process for mpeg-7 based semantic annotations founded on well proved information retrieval techniques , namely query expansion and regular expressions . additionally nwcbir , a prototype implementation for semantic search and retrieval will be presented . index termsmpeg-7 , nwcbir , semantic search and retrieval .']"
22,mpeg-7,defines,retrieval of the annotation,heuristic,1,"['with the growing amount of people using the internet , and creating digital content and information , knowledge retrieval becomes a critical task . ongoing efforts provide frameworks and standards for annotating digital and non-digital content semantically to describe resources more precisely and processable in comparison to simple descriptive structured and unstructured metadata . although the mpeg group provides with mpeg-7 , a useful and well defined theoretical framework for the creation of semantic annotation , retrieval of the annotations is not discussed . in this paper we present a retrieval process for mpeg-7 based semantic annotations founded on well proved information retrieval techniques , namely query expansion and regular expressions . additionally nwcbir , a prototype implementation for semantic search and retrieval will be presented . index termsmpeg-7 , nwcbir , semantic search and retrieval .']"
23,mpeg group,provides,semantic relationships,heuristic,2,"['with the growing amount of people using the internet , and creating digital content and information , knowledge retrieval becomes a critical task . ongoing efforts provide frameworks and standards for annotating digital and non-digital content semantically to describe resources more precisely and processable in comparison to simple descriptive structured and unstructured metadata . although the mpeg group provides with mpeg-7 , a useful and well defined theoretical framework for the creation of semantic annotation , retrieval of the annotations is not discussed . in this paper we present a retrieval process for mpeg-7 based semantic annotations founded on well proved information retrieval techniques , namely query expansion and regular expressions . additionally nwcbir , a prototype implementation for semantic search and retrieval will be presented . index termsmpeg-7 , nwcbir , semantic search and retrieval .']"
24,mpeg group,provides,retrieval of the annotation,heuristic,2,"['with the growing amount of people using the internet , and creating digital content and information , knowledge retrieval becomes a critical task . ongoing efforts provide frameworks and standards for annotating digital and non-digital content semantically to describe resources more precisely and processable in comparison to simple descriptive structured and unstructured metadata . although the mpeg group provides with mpeg-7 , a useful and well defined theoretical framework for the creation of semantic annotation , retrieval of the annotations is not discussed . in this paper we present a retrieval process for mpeg-7 based semantic annotations founded on well proved information retrieval techniques , namely query expansion and regular expressions . additionally nwcbir , a prototype implementation for semantic search and retrieval will be presented . index termsmpeg-7 , nwcbir , semantic search and retrieval .']"
25,concept,matches,k- high frequency term,heuristic,1,"['aiming at existing deficiencies such as low text semantic relevance degree in p2p context search , an ontology-based p2p content semantic search routing algorithm is developed . in this algorithm , texts are described as ontology and concepts are mapped from k- high frequency term . concept similarity is calculated by semantic distance between concepts to from concept relevance overlay and locate semantic peers . based on the concept relevance overlay , search requests are routed to the semantic peers firstly in order to search more semantic relevance resource by less time and network traffic . finally , the experiment was done to validate the efficiency and validity of ontology based p2p content semantic search routing algorithm , in which the result had shown that the algorithm is much better than simple flooding in semantic relevance degree of text .']"
26,ontologies,matches,k- high frequency term,heuristic,1,"['aiming at existing deficiencies such as low text semantic relevance degree in p2p context search , an ontology-based p2p content semantic search routing algorithm is developed . in this algorithm , texts are described as ontology and concepts are mapped from k- high frequency term . concept similarity is calculated by semantic distance between concepts to from concept relevance overlay and locate semantic peers . based on the concept relevance overlay , search requests are routed to the semantic peers firstly in order to search more semantic relevance resource by less time and network traffic . finally , the experiment was done to validate the efficiency and validity of ontology based p2p content semantic search routing algorithm , in which the result had shown that the algorithm is much better than simple flooding in semantic relevance degree of text .']"
27,concept similarity,analyzes,semantic distance,heuristic,1,"['aiming at existing deficiencies such as low text semantic relevance degree in p2p context search , an ontology-based p2p content semantic search routing algorithm is developed . in this algorithm , texts are described as ontology and concepts are mapped from k- high frequency term . concept similarity is calculated by semantic distance between concepts to from concept relevance overlay and locate semantic peers . based on the concept relevance overlay , search requests are routed to the semantic peers firstly in order to search more semantic relevance resource by less time and network traffic . finally , the experiment was done to validate the efficiency and validity of ontology based p2p content semantic search routing algorithm , in which the result had shown that the algorithm is much better than simple flooding in semantic relevance degree of text .']"
28,concept similarity,analyzes,concept relevance overlay,heuristic,1,"['aiming at existing deficiencies such as low text semantic relevance degree in p2p context search , an ontology-based p2p content semantic search routing algorithm is developed . in this algorithm , texts are described as ontology and concepts are mapped from k- high frequency term . concept similarity is calculated by semantic distance between concepts to from concept relevance overlay and locate semantic peers . based on the concept relevance overlay , search requests are routed to the semantic peers firstly in order to search more semantic relevance resource by less time and network traffic . finally , the experiment was done to validate the efficiency and validity of ontology based p2p content semantic search routing algorithm , in which the result had shown that the algorithm is much better than simple flooding in semantic relevance degree of text .']"
29,ontology based p2p content semantic search routing algorithm,represents,simple flooding,heuristic,2,"['aiming at existing deficiencies such as low text semantic relevance degree in p2p context search , an ontology-based p2p content semantic search routing algorithm is developed . in this algorithm , texts are described as ontology and concepts are mapped from k- high frequency term . concept similarity is calculated by semantic distance between concepts to from concept relevance overlay and locate semantic peers . based on the concept relevance overlay , search requests are routed to the semantic peers firstly in order to search more semantic relevance resource by less time and network traffic . finally , the experiment was done to validate the efficiency and validity of ontology based p2p content semantic search routing algorithm , in which the result had shown that the algorithm is much better than simple flooding in semantic relevance degree of text .']"
30,metametadata taxonomy,produces,semantic search engines,heuristic,2,"['this paper discusses on a novel method for semantic searching and retrieval of information about learning materials . a novel metametadata taxonomy has been developed which provides the basis for a semantic search engine to extract , match and map queries to retrieve relevant results . metametadata encapsulate metadata instances by using the properties and attributes provided by ontologies rather than describing learning objects . the use of ontological views assists the pedagogical content of metadata extracted from learning objects by using the control vocabularies as identified from the metametadata taxonomy . the use of ontological approach and metametadata ( based on the metametadata taxonomy ) have contributed towards a novel semantic searching mechanism . these three strands - the taxonomy , the ontological views , and the search algorithm - are integrated into an architecture ( omescod ) to support the semantic search within the metadata repository .']"
31,ontologies,learns,learning objects,heuristic,1,"['this paper discusses on a novel method for semantic searching and retrieval of information about learning materials . a novel metametadata taxonomy has been developed which provides the basis for a semantic search engine to extract , match and map queries to retrieve relevant results . metametadata encapsulate metadata instances by using the properties and attributes provided by ontologies rather than describing learning objects . the use of ontological views assists the pedagogical content of metadata extracted from learning objects by using the control vocabularies as identified from the metametadata taxonomy . the use of ontological approach and metametadata ( based on the metametadata taxonomy ) have contributed towards a novel semantic searching mechanism . these three strands - the taxonomy , the ontological views , and the search algorithm - are integrated into an architecture ( omescod ) to support the semantic search within the metadata repository .']"
32,ontological view,selects,metametadata taxonomy,heuristic,5,"['this paper discusses on a novel method for semantic searching and retrieval of information about learning materials . a novel metametadata taxonomy has been developed which provides the basis for a semantic search engine to extract , match and map queries to retrieve relevant results . metametadata encapsulate metadata instances by using the properties and attributes provided by ontologies rather than describing learning objects . the use of ontological views assists the pedagogical content of metadata extracted from learning objects by using the control vocabularies as identified from the metametadata taxonomy . the use of ontological approach and metametadata ( based on the metametadata taxonomy ) have contributed towards a novel semantic searching mechanism . these three strands - the taxonomy , the ontological views , and the search algorithm - are integrated into an architecture ( omescod ) to support the semantic search within the metadata repository .']"
33,ontological view,learns,control vocabulary,heuristic,4,"['this paper discusses on a novel method for semantic searching and retrieval of information about learning materials . a novel metametadata taxonomy has been developed which provides the basis for a semantic search engine to extract , match and map queries to retrieve relevant results . metametadata encapsulate metadata instances by using the properties and attributes provided by ontologies rather than describing learning objects . the use of ontological views assists the pedagogical content of metadata extracted from learning objects by using the control vocabularies as identified from the metametadata taxonomy . the use of ontological approach and metametadata ( based on the metametadata taxonomy ) have contributed towards a novel semantic searching mechanism . these three strands - the taxonomy , the ontological views , and the search algorithm - are integrated into an architecture ( omescod ) to support the semantic search within the metadata repository .']"
34,control vocabulary,selects,metametadata taxonomy,heuristic,1,"['this paper discusses on a novel method for semantic searching and retrieval of information about learning materials . a novel metametadata taxonomy has been developed which provides the basis for a semantic search engine to extract , match and map queries to retrieve relevant results . metametadata encapsulate metadata instances by using the properties and attributes provided by ontologies rather than describing learning objects . the use of ontological views assists the pedagogical content of metadata extracted from learning objects by using the control vocabularies as identified from the metametadata taxonomy . the use of ontological approach and metametadata ( based on the metametadata taxonomy ) have contributed towards a novel semantic searching mechanism . these three strands - the taxonomy , the ontological views , and the search algorithm - are integrated into an architecture ( omescod ) to support the semantic search within the metadata repository .']"
35,metametadata,base,metametadata taxonomy,heuristic,1,"['this paper discusses on a novel method for semantic searching and retrieval of information about learning materials . a novel metametadata taxonomy has been developed which provides the basis for a semantic search engine to extract , match and map queries to retrieve relevant results . metametadata encapsulate metadata instances by using the properties and attributes provided by ontologies rather than describing learning objects . the use of ontological views assists the pedagogical content of metadata extracted from learning objects by using the control vocabularies as identified from the metametadata taxonomy . the use of ontological approach and metametadata ( based on the metametadata taxonomy ) have contributed towards a novel semantic searching mechanism . these three strands - the taxonomy , the ontological views , and the search algorithm - are integrated into an architecture ( omescod ) to support the semantic search within the metadata repository .']"
36,ontological approach,base,metametadata taxonomy,heuristic,1,"['this paper discusses on a novel method for semantic searching and retrieval of information about learning materials . a novel metametadata taxonomy has been developed which provides the basis for a semantic search engine to extract , match and map queries to retrieve relevant results . metametadata encapsulate metadata instances by using the properties and attributes provided by ontologies rather than describing learning objects . the use of ontological views assists the pedagogical content of metadata extracted from learning objects by using the control vocabularies as identified from the metametadata taxonomy . the use of ontological approach and metametadata ( based on the metametadata taxonomy ) have contributed towards a novel semantic searching mechanism . these three strands - the taxonomy , the ontological views , and the search algorithm - are integrated into an architecture ( omescod ) to support the semantic search within the metadata repository .']"
37,metametadata taxonomy,contributes,semantic searching mechanism,heuristic,1,"['this paper discusses on a novel method for semantic searching and retrieval of information about learning materials . a novel metametadata taxonomy has been developed which provides the basis for a semantic search engine to extract , match and map queries to retrieve relevant results . metametadata encapsulate metadata instances by using the properties and attributes provided by ontologies rather than describing learning objects . the use of ontological views assists the pedagogical content of metadata extracted from learning objects by using the control vocabularies as identified from the metametadata taxonomy . the use of ontological approach and metametadata ( based on the metametadata taxonomy ) have contributed towards a novel semantic searching mechanism . these three strands - the taxonomy , the ontological views , and the search algorithm - are integrated into an architecture ( omescod ) to support the semantic search within the metadata repository .']"
38,metametadata,contributes,semantic searching mechanism,heuristic,3,"['this paper discusses on a novel method for semantic searching and retrieval of information about learning materials . a novel metametadata taxonomy has been developed which provides the basis for a semantic search engine to extract , match and map queries to retrieve relevant results . metametadata encapsulate metadata instances by using the properties and attributes provided by ontologies rather than describing learning objects . the use of ontological views assists the pedagogical content of metadata extracted from learning objects by using the control vocabularies as identified from the metametadata taxonomy . the use of ontological approach and metametadata ( based on the metametadata taxonomy ) have contributed towards a novel semantic searching mechanism . these three strands - the taxonomy , the ontological views , and the search algorithm - are integrated into an architecture ( omescod ) to support the semantic search within the metadata repository .']"
39,ontological approach,contributes,semantic searching mechanism,heuristic,2,"['this paper discusses on a novel method for semantic searching and retrieval of information about learning materials . a novel metametadata taxonomy has been developed which provides the basis for a semantic search engine to extract , match and map queries to retrieve relevant results . metametadata encapsulate metadata instances by using the properties and attributes provided by ontologies rather than describing learning objects . the use of ontological views assists the pedagogical content of metadata extracted from learning objects by using the control vocabularies as identified from the metametadata taxonomy . the use of ontological approach and metametadata ( based on the metametadata taxonomy ) have contributed towards a novel semantic searching mechanism . these three strands - the taxonomy , the ontological views , and the search algorithm - are integrated into an architecture ( omescod ) to support the semantic search within the metadata repository .']"
40,ontological view,uses,semantic search engines,heuristic,2,"['this paper discusses on a novel method for semantic searching and retrieval of information about learning materials . a novel metametadata taxonomy has been developed which provides the basis for a semantic search engine to extract , match and map queries to retrieve relevant results . metametadata encapsulate metadata instances by using the properties and attributes provided by ontologies rather than describing learning objects . the use of ontological views assists the pedagogical content of metadata extracted from learning objects by using the control vocabularies as identified from the metametadata taxonomy . the use of ontological approach and metametadata ( based on the metametadata taxonomy ) have contributed towards a novel semantic searching mechanism . these three strands - the taxonomy , the ontological views , and the search algorithm - are integrated into an architecture ( omescod ) to support the semantic search within the metadata repository .']"
41,search algorithm,uses,metadata repository,heuristic,2,"['this paper discusses on a novel method for semantic searching and retrieval of information about learning materials . a novel metametadata taxonomy has been developed which provides the basis for a semantic search engine to extract , match and map queries to retrieve relevant results . metametadata encapsulate metadata instances by using the properties and attributes provided by ontologies rather than describing learning objects . the use of ontological views assists the pedagogical content of metadata extracted from learning objects by using the control vocabularies as identified from the metametadata taxonomy . the use of ontological approach and metametadata ( based on the metametadata taxonomy ) have contributed towards a novel semantic searching mechanism . these three strands - the taxonomy , the ontological views , and the search algorithm - are integrated into an architecture ( omescod ) to support the semantic search within the metadata repository .']"
42,search algorithm,uses,semantic search engines,heuristic,2,"['this paper discusses on a novel method for semantic searching and retrieval of information about learning materials . a novel metametadata taxonomy has been developed which provides the basis for a semantic search engine to extract , match and map queries to retrieve relevant results . metametadata encapsulate metadata instances by using the properties and attributes provided by ontologies rather than describing learning objects . the use of ontological views assists the pedagogical content of metadata extracted from learning objects by using the control vocabularies as identified from the metametadata taxonomy . the use of ontological approach and metametadata ( based on the metametadata taxonomy ) have contributed towards a novel semantic searching mechanism . these three strands - the taxonomy , the ontological views , and the search algorithm - are integrated into an architecture ( omescod ) to support the semantic search within the metadata repository .']"
43,it,is,heterogeneous information resource,heuristic,1,"['search is probably the most frequent activity on the web . yet , it is not effortless , mainly due to heterogeneous information resources . semantic search is a means to tackle the problem of ambiguity . in this paper , we analyse a process of constructing semantic-linguistic feature vectors ( fvs ) used in our semantic search approach . these fvs are built based on domain semantics encoded in an ontology and enhanced by relevant terminology from web documents . since fvs are central building blocks of the approach , we investigate the quality of fvs . we take a closer look at the process of fv construction and the impact of chosen techniques on the quality of fvs . we report on a set of laboratory experiments and analyse aspects affecting the fv quality and the fv construction error rates .']"
44,domain semantic,converts,web document,heuristic,2,"['search is probably the most frequent activity on the web . yet , it is not effortless , mainly due to heterogeneous information resources . semantic search is a means to tackle the problem of ambiguity . in this paper , we analyse a process of constructing semantic-linguistic feature vectors ( fvs ) used in our semantic search approach . these fvs are built based on domain semantics encoded in an ontology and enhanced by relevant terminology from web documents . since fvs are central building blocks of the approach , we investigate the quality of fvs . we take a closer look at the process of fv construction and the impact of chosen techniques on the quality of fvs . we report on a set of laboratory experiments and analyse aspects affecting the fv quality and the fv construction error rates .']"
45,ontologies,improves,web document,heuristic,1,"['search is probably the most frequent activity on the web . yet , it is not effortless , mainly due to heterogeneous information resources . semantic search is a means to tackle the problem of ambiguity . in this paper , we analyse a process of constructing semantic-linguistic feature vectors ( fvs ) used in our semantic search approach . these fvs are built based on domain semantics encoded in an ontology and enhanced by relevant terminology from web documents . since fvs are central building blocks of the approach , we investigate the quality of fvs . we take a closer look at the process of fv construction and the impact of chosen techniques on the quality of fvs . we report on a set of laboratory experiments and analyse aspects affecting the fv quality and the fv construction error rates .']"
46,domain semantic,converts,ontologies,heuristic,1,"['search is probably the most frequent activity on the web . yet , it is not effortless , mainly due to heterogeneous information resources . semantic search is a means to tackle the problem of ambiguity . in this paper , we analyse a process of constructing semantic-linguistic feature vectors ( fvs ) used in our semantic search approach . these fvs are built based on domain semantics encoded in an ontology and enhanced by relevant terminology from web documents . since fvs are central building blocks of the approach , we investigate the quality of fvs . we take a closer look at the process of fv construction and the impact of chosen techniques on the quality of fvs . we report on a set of laboratory experiments and analyse aspects affecting the fv quality and the fv construction error rates .']"
47,keyword - based search,converts,semantic search engines,heuristic,1,"['various documents , images , videos and other materials on the web has been increasing rapidly . efficient search of those things has become an important topic . from keyword-based search , internet search has been transformed to semantic search which finds the implications and the relations between data elements . many annotation processing systems manipulating the metadata for semantic search have been proposed . however , annotation data generated by different methods and forms are difficult to process integrated search between those systems . in this study , in order to resolve this problem , we categorized levels of many annotation documents , and we proposed the method to measure the similarity between the annotation documents . similarity measure between annotation documents can be used for searching similar or related documents , images , and videos regardless of the forms of the source data .']"
48,internet search,converts,semantic search engines,heuristic,1,"['various documents , images , videos and other materials on the web has been increasing rapidly . efficient search of those things has become an important topic . from keyword-based search , internet search has been transformed to semantic search which finds the implications and the relations between data elements . many annotation processing systems manipulating the metadata for semantic search have been proposed . however , annotation data generated by different methods and forms are difficult to process integrated search between those systems . in this study , in order to resolve this problem , we categorized levels of many annotation documents , and we proposed the method to measure the similarity between the annotation documents . similarity measure between annotation documents can be used for searching similar or related documents , images , and videos regardless of the forms of the source data .']"
49,annotation data,produces,system,heuristic,3,"['various documents , images , videos and other materials on the web has been increasing rapidly . efficient search of those things has become an important topic . from keyword-based search , internet search has been transformed to semantic search which finds the implications and the relations between data elements . many annotation processing systems manipulating the metadata for semantic search have been proposed . however , annotation data generated by different methods and forms are difficult to process integrated search between those systems . in this study , in order to resolve this problem , we categorized levels of many annotation documents , and we proposed the method to measure the similarity between the annotation documents . similarity measure between annotation documents can be used for searching similar or related documents , images , and videos regardless of the forms of the source data .']"
