,s,p,o,source,support,abstracts
10,ontology matching approach,uses,genetic algorithm (ga),luanyi,1,"['in this paper , we propose a new ontology matching approach , omega , based on genetic algorithms applied on the graph structure of ontologies . our approach finds the linguistic-structural similarities between concepts in two ontologies . it introduces new fitness functions and new criteria for categorizing test cases into four categories . our approach does not need any extra information or resource with exception to the ontology itself . experimental results on applying omega on defined cases show higher performance compared to existing method .']"
11,automated ontology matching methodology,uses,machine learning technique,luanyi,1,"['an automated ontology matching methodology is presented , supported by various machine learning techniques , as implemented in the system moto . the methodology is two-tiered . on the first stage it uses a meta-learner to elicit certain mappings from those predicted by single matchers induced by a specific base-learner . then , uncertain mappings are recovered passing through a validation process , followed by the aggregation of the individual predictions through linguistic quantifiers . experiments on benchmark ontologies demonstrate the effectiveness of the methodology .']"
12,it,uses,meta - learner,luanyi,1,"['an automated ontology matching methodology is presented , supported by various machine learning techniques , as implemented in the system moto . the methodology is two-tiered . on the first stage it uses a meta-learner to elicit certain mappings from those predicted by single matchers induced by a specific base-learner . then , uncertain mappings are recovered passing through a validation process , followed by the aggregation of the individual predictions through linguistic quantifiers . experiments on benchmark ontologies demonstrate the effectiveness of the methodology .']"
13,mapping,uses,meta - learner,luanyi,1,"['an automated ontology matching methodology is presented , supported by various machine learning techniques , as implemented in the system moto . the methodology is two-tiered . on the first stage it uses a meta-learner to elicit certain mappings from those predicted by single matchers induced by a specific base-learner . then , uncertain mappings are recovered passing through a validation process , followed by the aggregation of the individual predictions through linguistic quantifiers . experiments on benchmark ontologies demonstrate the effectiveness of the methodology .']"
14,benchmark ontology,evaluates,methodology,luanyi,1,"['an automated ontology matching methodology is presented , supported by various machine learning techniques , as implemented in the system moto . the methodology is two-tiered . on the first stage it uses a meta-learner to elicit certain mappings from those predicted by single matchers induced by a specific base-learner . then , uncertain mappings are recovered passing through a validation process , followed by the aggregation of the individual predictions through linguistic quantifiers . experiments on benchmark ontologies demonstrate the effectiveness of the methodology .']"
15,unstructured p2p systems.document,uses,semantic search approach,luanyi,1,"['an effective semantic search approach based on hierarchical interest tree ( hit ) is proposed in unstructured p2p systems.documents owned by a peer are classified into categories to build a hit , which is sent to a super peer.meanwhile , the inverted document index ( idi ) of top n terms for each category is also sent to a super peer according to their chi-square ( 2 ) statistic values.when a regular peer sends a query and gives a category semantic similarity threshold sim_ th , query messages are forwarded via an effective query routing algorithm and the results are returned by searching hit.it is flexible for each peer since it can set the sim_ th , which can provide a better personal service.the experiments show that hit-based semantic search approach is more accurate and efficient than previous methods .']"
16,semantic search approach,uses,hierarchical interest tree,luanyi,1,"['an effective semantic search approach based on hierarchical interest tree ( hit ) is proposed in unstructured p2p systems.documents owned by a peer are classified into categories to build a hit , which is sent to a super peer.meanwhile , the inverted document index ( idi ) of top n terms for each category is also sent to a super peer according to their chi-square ( 2 ) statistic values.when a regular peer sends a query and gives a category semantic similarity threshold sim_ th , query messages are forwarded via an effective query routing algorithm and the results are returned by searching hit.it is flexible for each peer since it can set the sim_ th , which can provide a better personal service.the experiments show that hit-based semantic search approach is more accurate and efficient than previous methods .']"
17,unstructured p2p systems.document,uses,hierarchical interest tree,luanyi,1,"['an effective semantic search approach based on hierarchical interest tree ( hit ) is proposed in unstructured p2p systems.documents owned by a peer are classified into categories to build a hit , which is sent to a super peer.meanwhile , the inverted document index ( idi ) of top n terms for each category is also sent to a super peer according to their chi-square ( 2 ) statistic values.when a regular peer sends a query and gives a category semantic similarity threshold sim_ th , query messages are forwarded via an effective query routing algorithm and the results are returned by searching hit.it is flexible for each peer since it can set the sim_ th , which can provide a better personal service.the experiments show that hit-based semantic search approach is more accurate and efficient than previous methods .']"
18,structured data,uses,semantic search technology,luanyi,1,"['with the increasing interest in environmental issues , the amount of publicly available environmental data on the web is continuously growing . despite its importance , the uptake of environmental information by the ordinaryweb users is still very limited due to intransparent access to complex and distributed databases . as a remedy to this problem , in this work , we propose the use of semantic search technologies recently developed as an intuitive way to easily access structured data and lower the barriers to obtain information satisfying user information needs . our proposed system , namely koios , enables a simple , keyword-based search on structured environmental data and built on top of a commercial environmental information system ( eis ) . a prototype system successfully shows that applying semantic search techniques this way provides intuitive means for search and access to complex environmental information .']"
19,user information need,uses,semantic search technology,luanyi,1,"['with the increasing interest in environmental issues , the amount of publicly available environmental data on the web is continuously growing . despite its importance , the uptake of environmental information by the ordinaryweb users is still very limited due to intransparent access to complex and distributed databases . as a remedy to this problem , in this work , we propose the use of semantic search technologies recently developed as an intuitive way to easily access structured data and lower the barriers to obtain information satisfying user information needs . our proposed system , namely koios , enables a simple , keyword-based search on structured environmental data and built on top of a commercial environmental information system ( eis ) . a prototype system successfully shows that applying semantic search techniques this way provides intuitive means for search and access to complex environmental information .']"
20,koio,skos:broader/is/hyponym-of,keyword - based search,luanyi,1,"['with the increasing interest in environmental issues , the amount of publicly available environmental data on the web is continuously growing . despite its importance , the uptake of environmental information by the ordinaryweb users is still very limited due to intransparent access to complex and distributed databases . as a remedy to this problem , in this work , we propose the use of semantic search technologies recently developed as an intuitive way to easily access structured data and lower the barriers to obtain information satisfying user information needs . our proposed system , namely koios , enables a simple , keyword-based search on structured environmental data and built on top of a commercial environmental information system ( eis ) . a prototype system successfully shows that applying semantic search techniques this way provides intuitive means for search and access to complex environmental information .']"
21,keyword - based search,uses,structured environmental data,luanyi,1,"['with the increasing interest in environmental issues , the amount of publicly available environmental data on the web is continuously growing . despite its importance , the uptake of environmental information by the ordinaryweb users is still very limited due to intransparent access to complex and distributed databases . as a remedy to this problem , in this work , we propose the use of semantic search technologies recently developed as an intuitive way to easily access structured data and lower the barriers to obtain information satisfying user information needs . our proposed system , namely koios , enables a simple , keyword-based search on structured environmental data and built on top of a commercial environmental information system ( eis ) . a prototype system successfully shows that applying semantic search techniques this way provides intuitive means for search and access to complex environmental information .']"
22,digital contents,uses,internet,luanyi,1,"['with the growing amount of people using the internet , and creating digital content and information , knowledge retrieval becomes a critical task . ongoing efforts provide frameworks and standards for annotating digital and non-digital content semantically to describe resources more precisely and processable in comparison to simple descriptive structured and unstructured metadata . although the mpeg group provides with mpeg-7 , a useful and well defined theoretical framework for the creation of semantic annotation , retrieval of the annotations is not discussed . in this paper we present a retrieval process for mpeg-7 based semantic annotations founded on well proved information retrieval techniques , namely query expansion and regular expressions . additionally nwcbir , a prototype implementation for semantic search and retrieval will be presented . index termsmpeg-7 , nwcbir , semantic search and retrieval .']"
23,mpeg group,uses,mpeg-7,luanyi,1,"['with the growing amount of people using the internet , and creating digital content and information , knowledge retrieval becomes a critical task . ongoing efforts provide frameworks and standards for annotating digital and non-digital content semantically to describe resources more precisely and processable in comparison to simple descriptive structured and unstructured metadata . although the mpeg group provides with mpeg-7 , a useful and well defined theoretical framework for the creation of semantic annotation , retrieval of the annotations is not discussed . in this paper we present a retrieval process for mpeg-7 based semantic annotations founded on well proved information retrieval techniques , namely query expansion and regular expressions . additionally nwcbir , a prototype implementation for semantic search and retrieval will be presented . index termsmpeg-7 , nwcbir , semantic search and retrieval .']"
24,mpeg-7 based semantic annotation,uses,retrieval proces,luanyi,1,"['with the growing amount of people using the internet , and creating digital content and information , knowledge retrieval becomes a critical task . ongoing efforts provide frameworks and standards for annotating digital and non-digital content semantically to describe resources more precisely and processable in comparison to simple descriptive structured and unstructured metadata . although the mpeg group provides with mpeg-7 , a useful and well defined theoretical framework for the creation of semantic annotation , retrieval of the annotations is not discussed . in this paper we present a retrieval process for mpeg-7 based semantic annotations founded on well proved information retrieval techniques , namely query expansion and regular expressions . additionally nwcbir , a prototype implementation for semantic search and retrieval will be presented . index termsmpeg-7 , nwcbir , semantic search and retrieval .']"
25,query expansion,skos:broader/is/hyponym-of,information retrieval technique,luanyi,1,"['with the growing amount of people using the internet , and creating digital content and information , knowledge retrieval becomes a critical task . ongoing efforts provide frameworks and standards for annotating digital and non-digital content semantically to describe resources more precisely and processable in comparison to simple descriptive structured and unstructured metadata . although the mpeg group provides with mpeg-7 , a useful and well defined theoretical framework for the creation of semantic annotation , retrieval of the annotations is not discussed . in this paper we present a retrieval process for mpeg-7 based semantic annotations founded on well proved information retrieval techniques , namely query expansion and regular expressions . additionally nwcbir , a prototype implementation for semantic search and retrieval will be presented . index termsmpeg-7 , nwcbir , semantic search and retrieval .']"
26,regular expression,skos:broader/is/hyponym-of,information retrieval technique,luanyi,1,"['with the growing amount of people using the internet , and creating digital content and information , knowledge retrieval becomes a critical task . ongoing efforts provide frameworks and standards for annotating digital and non-digital content semantically to describe resources more precisely and processable in comparison to simple descriptive structured and unstructured metadata . although the mpeg group provides with mpeg-7 , a useful and well defined theoretical framework for the creation of semantic annotation , retrieval of the annotations is not discussed . in this paper we present a retrieval process for mpeg-7 based semantic annotations founded on well proved information retrieval techniques , namely query expansion and regular expressions . additionally nwcbir , a prototype implementation for semantic search and retrieval will be presented . index termsmpeg-7 , nwcbir , semantic search and retrieval .']"
27,nwcbir,skos:broader/is/hyponym-of,prototype implementation,luanyi,1,"['with the growing amount of people using the internet , and creating digital content and information , knowledge retrieval becomes a critical task . ongoing efforts provide frameworks and standards for annotating digital and non-digital content semantically to describe resources more precisely and processable in comparison to simple descriptive structured and unstructured metadata . although the mpeg group provides with mpeg-7 , a useful and well defined theoretical framework for the creation of semantic annotation , retrieval of the annotations is not discussed . in this paper we present a retrieval process for mpeg-7 based semantic annotations founded on well proved information retrieval techniques , namely query expansion and regular expressions . additionally nwcbir , a prototype implementation for semantic search and retrieval will be presented . index termsmpeg-7 , nwcbir , semantic search and retrieval .']"
28,semantic search engines,uses,nwcbir,luanyi,1,"['with the growing amount of people using the internet , and creating digital content and information , knowledge retrieval becomes a critical task . ongoing efforts provide frameworks and standards for annotating digital and non-digital content semantically to describe resources more precisely and processable in comparison to simple descriptive structured and unstructured metadata . although the mpeg group provides with mpeg-7 , a useful and well defined theoretical framework for the creation of semantic annotation , retrieval of the annotations is not discussed . in this paper we present a retrieval process for mpeg-7 based semantic annotations founded on well proved information retrieval techniques , namely query expansion and regular expressions . additionally nwcbir , a prototype implementation for semantic search and retrieval will be presented . index termsmpeg-7 , nwcbir , semantic search and retrieval .']"
29,semantic search and retrieval,uses,nwcbir,luanyi,1,"['with the growing amount of people using the internet , and creating digital content and information , knowledge retrieval becomes a critical task . ongoing efforts provide frameworks and standards for annotating digital and non-digital content semantically to describe resources more precisely and processable in comparison to simple descriptive structured and unstructured metadata . although the mpeg group provides with mpeg-7 , a useful and well defined theoretical framework for the creation of semantic annotation , retrieval of the annotations is not discussed . in this paper we present a retrieval process for mpeg-7 based semantic annotations founded on well proved information retrieval techniques , namely query expansion and regular expressions . additionally nwcbir , a prototype implementation for semantic search and retrieval will be presented . index termsmpeg-7 , nwcbir , semantic search and retrieval .']"
30,semantic search engines,uses,prototype implementation,luanyi,1,"['with the growing amount of people using the internet , and creating digital content and information , knowledge retrieval becomes a critical task . ongoing efforts provide frameworks and standards for annotating digital and non-digital content semantically to describe resources more precisely and processable in comparison to simple descriptive structured and unstructured metadata . although the mpeg group provides with mpeg-7 , a useful and well defined theoretical framework for the creation of semantic annotation , retrieval of the annotations is not discussed . in this paper we present a retrieval process for mpeg-7 based semantic annotations founded on well proved information retrieval techniques , namely query expansion and regular expressions . additionally nwcbir , a prototype implementation for semantic search and retrieval will be presented . index termsmpeg-7 , nwcbir , semantic search and retrieval .']"
31,semantic search and retrieval,uses,prototype implementation,luanyi,1,"['with the growing amount of people using the internet , and creating digital content and information , knowledge retrieval becomes a critical task . ongoing efforts provide frameworks and standards for annotating digital and non-digital content semantically to describe resources more precisely and processable in comparison to simple descriptive structured and unstructured metadata . although the mpeg group provides with mpeg-7 , a useful and well defined theoretical framework for the creation of semantic annotation , retrieval of the annotations is not discussed . in this paper we present a retrieval process for mpeg-7 based semantic annotations founded on well proved information retrieval techniques , namely query expansion and regular expressions . additionally nwcbir , a prototype implementation for semantic search and retrieval will be presented . index termsmpeg-7 , nwcbir , semantic search and retrieval .']"
32,p2p context search,includes,low text semantic relevance degree,luanyi,1,"['aiming at existing deficiencies such as low text semantic relevance degree in p2p context search , an ontology-based p2p content semantic search routing algorithm is developed . in this algorithm , texts are described as ontology and concepts are mapped from k- high frequency term . concept similarity is calculated by semantic distance between concepts to from concept relevance overlay and locate semantic peers . based on the concept relevance overlay , search requests are routed to the semantic peers firstly in order to search more semantic relevance resource by less time and network traffic . finally , the experiment was done to validate the efficiency and validity of ontology based p2p content semantic search routing algorithm , in which the result had shown that the algorithm is much better than simple flooding in semantic relevance degree of text .']"
33,concept similarity,uses,semantic distance,luanyi,1,"['aiming at existing deficiencies such as low text semantic relevance degree in p2p context search , an ontology-based p2p content semantic search routing algorithm is developed . in this algorithm , texts are described as ontology and concepts are mapped from k- high frequency term . concept similarity is calculated by semantic distance between concepts to from concept relevance overlay and locate semantic peers . based on the concept relevance overlay , search requests are routed to the semantic peers firstly in order to search more semantic relevance resource by less time and network traffic . finally , the experiment was done to validate the efficiency and validity of ontology based p2p content semantic search routing algorithm , in which the result had shown that the algorithm is much better than simple flooding in semantic relevance degree of text .']"
34,semantic peer,uses,search request,luanyi,1,"['aiming at existing deficiencies such as low text semantic relevance degree in p2p context search , an ontology-based p2p content semantic search routing algorithm is developed . in this algorithm , texts are described as ontology and concepts are mapped from k- high frequency term . concept similarity is calculated by semantic distance between concepts to from concept relevance overlay and locate semantic peers . based on the concept relevance overlay , search requests are routed to the semantic peers firstly in order to search more semantic relevance resource by less time and network traffic . finally , the experiment was done to validate the efficiency and validity of ontology based p2p content semantic search routing algorithm , in which the result had shown that the algorithm is much better than simple flooding in semantic relevance degree of text .']"
35,semantic relevance resource,uses,search request,luanyi,1,"['aiming at existing deficiencies such as low text semantic relevance degree in p2p context search , an ontology-based p2p content semantic search routing algorithm is developed . in this algorithm , texts are described as ontology and concepts are mapped from k- high frequency term . concept similarity is calculated by semantic distance between concepts to from concept relevance overlay and locate semantic peers . based on the concept relevance overlay , search requests are routed to the semantic peers firstly in order to search more semantic relevance resource by less time and network traffic . finally , the experiment was done to validate the efficiency and validity of ontology based p2p content semantic search routing algorithm , in which the result had shown that the algorithm is much better than simple flooding in semantic relevance degree of text .']"
36,semantic search engines,uses,metametadata taxonomy,luanyi,1,"['this paper discusses on a novel method for semantic searching and retrieval of information about learning materials . a novel metametadata taxonomy has been developed which provides the basis for a semantic search engine to extract , match and map queries to retrieve relevant results . metametadata encapsulate metadata instances by using the properties and attributes provided by ontologies rather than describing learning objects . the use of ontological views assists the pedagogical content of metadata extracted from learning objects by using the control vocabularies as identified from the metametadata taxonomy . the use of ontological approach and metametadata ( based on the metametadata taxonomy ) have contributed towards a novel semantic searching mechanism . these three strands - the taxonomy , the ontological views , and the search algorithm - are integrated into an architecture ( omescod ) to support the semantic search within the metadata repository .']"
37,semantic searching mechanism,uses,ontological approach,luanyi,1,"['this paper discusses on a novel method for semantic searching and retrieval of information about learning materials . a novel metametadata taxonomy has been developed which provides the basis for a semantic search engine to extract , match and map queries to retrieve relevant results . metametadata encapsulate metadata instances by using the properties and attributes provided by ontologies rather than describing learning objects . the use of ontological views assists the pedagogical content of metadata extracted from learning objects by using the control vocabularies as identified from the metametadata taxonomy . the use of ontological approach and metametadata ( based on the metametadata taxonomy ) have contributed towards a novel semantic searching mechanism . these three strands - the taxonomy , the ontological views , and the search algorithm - are integrated into an architecture ( omescod ) to support the semantic search within the metadata repository .']"
38,semantic searching mechanism,uses,metametadata,luanyi,1,"['this paper discusses on a novel method for semantic searching and retrieval of information about learning materials . a novel metametadata taxonomy has been developed which provides the basis for a semantic search engine to extract , match and map queries to retrieve relevant results . metametadata encapsulate metadata instances by using the properties and attributes provided by ontologies rather than describing learning objects . the use of ontological views assists the pedagogical content of metadata extracted from learning objects by using the control vocabularies as identified from the metametadata taxonomy . the use of ontological approach and metametadata ( based on the metametadata taxonomy ) have contributed towards a novel semantic searching mechanism . these three strands - the taxonomy , the ontological views , and the search algorithm - are integrated into an architecture ( omescod ) to support the semantic search within the metadata repository .']"
39,semantic searching mechanism,uses,metametadata taxonomy,luanyi,1,"['this paper discusses on a novel method for semantic searching and retrieval of information about learning materials . a novel metametadata taxonomy has been developed which provides the basis for a semantic search engine to extract , match and map queries to retrieve relevant results . metametadata encapsulate metadata instances by using the properties and attributes provided by ontologies rather than describing learning objects . the use of ontological views assists the pedagogical content of metadata extracted from learning objects by using the control vocabularies as identified from the metametadata taxonomy . the use of ontological approach and metametadata ( based on the metametadata taxonomy ) have contributed towards a novel semantic searching mechanism . these three strands - the taxonomy , the ontological views , and the search algorithm - are integrated into an architecture ( omescod ) to support the semantic search within the metadata repository .']"
40,semantic search engines,uses,search algorithm,luanyi,1,"['this paper discusses on a novel method for semantic searching and retrieval of information about learning materials . a novel metametadata taxonomy has been developed which provides the basis for a semantic search engine to extract , match and map queries to retrieve relevant results . metametadata encapsulate metadata instances by using the properties and attributes provided by ontologies rather than describing learning objects . the use of ontological views assists the pedagogical content of metadata extracted from learning objects by using the control vocabularies as identified from the metametadata taxonomy . the use of ontological approach and metametadata ( based on the metametadata taxonomy ) have contributed towards a novel semantic searching mechanism . these three strands - the taxonomy , the ontological views , and the search algorithm - are integrated into an architecture ( omescod ) to support the semantic search within the metadata repository .']"
41,domain semantic,uses,web document,luanyi,1,"['search is probably the most frequent activity on the web . yet , it is not effortless , mainly due to heterogeneous information resources . semantic search is a means to tackle the problem of ambiguity . in this paper , we analyse a process of constructing semantic-linguistic feature vectors ( fvs ) used in our semantic search approach . these fvs are built based on domain semantics encoded in an ontology and enhanced by relevant terminology from web documents . since fvs are central building blocks of the approach , we investigate the quality of fvs . we take a closer look at the process of fv construction and the impact of chosen techniques on the quality of fvs . we report on a set of laboratory experiments and analyse aspects affecting the fv quality and the fv construction error rates .']"
42,semantic search engines,uses,internet search,luanyi,1,"['various documents , images , videos and other materials on the web has been increasing rapidly . efficient search of those things has become an important topic . from keyword-based search , internet search has been transformed to semantic search which finds the implications and the relations between data elements . many annotation processing systems manipulating the metadata for semantic search have been proposed . however , annotation data generated by different methods and forms are difficult to process integrated search between those systems . in this study , in order to resolve this problem , we categorized levels of many annotation documents , and we proposed the method to measure the similarity between the annotation documents . similarity measure between annotation documents can be used for searching similar or related documents , images , and videos regardless of the forms of the source data .']"
